2D,3D,4D,answer,type
"In triangle ABC, let M be the midpoint of BC and N the midpoint of AB. What is the relationship between line AM and line CN?","In tetrahedron ABCD, let U be the centroid of face BCD and V the centroid of face ABD. What is the relationship between line AU and line CV?","In 5-cell ABCDE, let U be the centroid of facet BCDE and V the centroid of facet ABDE. What is the relationship between line AU and line CV?",A,2
Line t is tangent to circle O at A. What is the relationship between line t and circle O?,Plane P is tangent to sphere O at A. What is the relationship between plane P and sphere O?,3D hyperplane H is tangent to 3-sphere O at A. What is the relationship between 3D hyperplane H and 3-sphere O?,A,2
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points A, P, and C collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points A, P, C, and G coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points A, P, C, G, O cohyperplanar?",A,3
"In triangle ABC, let G be the centroid. Are points A, G, and C collinear?","In tetrahedron ABCD, let T be the centroid. Are points A, T, C, D coplanar?","In 5-cell ABCDE, let T be the centroid. Are points A, T, C, D, E cohyperplanar?",A,3
"In circle O, let AB be a diameter. Are points A, O, and B collinear?","In sphere O, let A and B be endpoints of a diameter. Are points A, O, B, C coplanar?","In 3-sphere O, let A and B be endpoints of a diameter. Are points A, O, B, C, D cohyperplanar?",A,3
"In rectangle ABCD, are points A, B, and D collinear?","In rectangular solid ABCD-EFGH, are points A, B, D, E coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, D, E, I cohyperplanar?",B,3
"In triangle ABC, let M be the midpoint of BC. Are points B, A, and M collinear?","In tetrahedron ABCD, let U be the centroid of face BCD. Are points B, A, C, U coplanar?","In 5-cell ABCDE, let U be the centroid of facet BCDE. Are points B, A, C, D, U cohyperplanar?",B,3
"In circle O, let t be the tangent line at A. Are points O, B, and A collinear, where B is a point on t distinct from A?","In sphere O, let P be the tangent plane at A. Are points O, B, C, and A coplanar, where B and C are distinct points of P not equal to A?","In 3-sphere O, let H be the tangent 3D hyperplane at A. Are points O, B, C, D, and A cohyperplanar, where B, C, and D are distinct points of H not equal to A?",B,3
"In rectangle ABCD, what is the relationship between line AC and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane BCGF-JKON?",C,1
"In triangle ABC, let D be the foot of the altitude from B to line AC. What is the relationship between line AB and line BD?","In tetrahedron ABCD, let E be the foot of the altitude from B to plane ACD. What is the relationship between plane ABE and line BE?","In 5-cell ABCDE, let F be the foot of the altitude from B to 3D hyperplane ACDE. What is the relationship between 3D hyperplane ABF and line BF?",A,2
"In circle O, let t_A and t_B be tangent lines at the endpoints A and B of a diameter. What is the relationship between line t_A and line t_B?","In sphere O, let P_A and P_B be tangent planes at the endpoints A and B of a diameter. What is the relationship between plane P_A and plane P_B?","In 3-sphere O, let H_A and H_B be tangent 3D hyperplanes at the endpoints A and B of a diameter. What is the relationship between 3D hyperplane H_A and 3D hyperplane H_B?",A,1
"In triangle ABC, let M be the midpoint of BC and N be the midpoint of AC. Are points M, N, and B collinear?","In tetrahedron ABCD, let E, F, and G be the midpoints of BC, BD, and CD. Are points E, F, G, and B coplanar?","In 5-cell ABCDE, let F, G, H, and I be the midpoints of BC, BD, BE, and CE. Are points F, G, H, I, and B cohyperplanar?",A,3
"In rectangle ABCD, what is the relationship between line AC and line AB?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane ABFE?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane ABEF-IJKL?",C,1
"In triangle ABC, let D be the foot of the altitude from B to AC. What is the relationship between line BD and line AC?","In tetrahedron ABCD, let E be the foot of the altitude from B to plane ACD. What is the relationship between line BE and plane ACD?","In 5-cell ABCDE, let F be the foot of the altitude from B to 3D hyperplane ACDE. What is the relationship between line BF and 3D hyperplane ACDE?",B,1
"In triangle ABC, let G be the centroid. What is the relationship between line AG and line BC?","In tetrahedron ABCD, let T be the centroid. What is the relationship between line AT and plane BCD?","In 5-cell ABCDE, let U be the centroid. What is the relationship between line AU and 3D hyperplane BCDE?",D,1
"In rectangle ABCD, do lines AB and BC intersect?","In rectangular solid ABCD-EFGH, do planes ABFE and BCGF intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABEF-IJKL and BCGF-JKON intersect?",A,2
"In rectangle ABCD, do lines AC and CD intersect?","In rectangular solid ABCD-EFGH, do planes ACEG and CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACEG-IKMO and CDHG-KLOP intersect?",A,2
"In triangle ABC, let M be the midpoint of BC and N the midpoint of AB. Do lines AN and CM intersect?","In tetrahedron ABCD, let U be the centroid of face BCD and V the centroid of face ABD. Do lines AV and CU intersect?","In 5-cell ABCDE, let U be the centroid of facet BCDE and V the centroid of facet ABDE. Do lines AV and CU intersect?",A,2
"In circle O, let AB be a diameter and let t_A be the tangent line at A. Do line AB and line t_A intersect?","In sphere O, let A and B be endpoints of a diameter and let P_A be the tangent plane at A. Do line AB and plane P_A intersect?","In 3-sphere O, let A and B be endpoints of a diameter and let H_A be the tangent 3D hyperplane at A. Do line AB and 3D hyperplane H_A intersect?",A,2
"In triangle ABC, let M be the midpoint of BC and N be the midpoint of AC. Are points M, N, and A collinear?","In tetrahedron ABCD, let U, V, and W be the centroids of faces BCD, ACD, and ABD. Are points U, V, W, and A coplanar?","In 5-cell ABCDE, let U, V, W, and X be the centroids of facets BCDE, ACDE, ABDE, and ABCE. Are points U, V, W, X, and A cohyperplanar?",B,3
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points A, B, and P collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points A, B, E, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points A, B, E, I, and P cohyperplanar?",B,3
"In triangle ABC, let D be the foot of the altitude from C to line AB. Are points A, D, and C collinear?","In tetrahedron ABCD, let E be the foot of the altitude from D to plane ABC. Are points A, E, C, D coplanar?","In 5-cell ABCDE, let F be the foot of the altitude from E to 3D hyperplane ABCD. Are points A, F, C, D, E cohyperplanar?",B,3
"In circle O, let AB be a diameter and let C be a point on line AB between A and B. Are points A, C, and B collinear?","In sphere O, let A and B be endpoints of a diameter and let C be a point on line AB between A and B. Are points A, C, B, D coplanar?","In 3-sphere O, let A and B be endpoints of a diameter and let C be a point on line AB between A and B. Are points A, C, B, D, E cohyperplanar?",A,3
"In rectangle ABCD, are points A, B, and C collinear?","In rectangular solid ABCD-EFGH, are points A, B, C, E coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, C, E, I cohyperplanar?",A,3
"In circle O, let t be the tangent line at A. Are points A and O on line t?","In sphere O, let P be the tangent plane at A. Are points A and O on plane P?","In 3-sphere O, let H be the tangent 3D hyperplane at A. Are points A and O on 3D hyperplane H?",B,3
"In triangle ABC, let M be the midpoint of AB. Are points A, M, and C collinear?","In tetrahedron ABCD, let E be the midpoint of AB. Are points A, E, C, D coplanar?","In 5-cell ABCDE, let F be the midpoint of AB. Are points A, F, C, D, E cohyperplanar?",A,3
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points A, D, and P collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points A, D, H, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points A, D, H, L, and P cohyperplanar?",A,3
"In rectangle ABCD, what is the relationship between line AB and line AD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane ADHE?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABEF-IJKL and 3D hyperplane ADHE-ILMP?",B,1
"In rectangle ABCD, what is the relationship between line BD and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane BDHF and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BDHF-JLNP and 3D hyperplane CDHG-KLOP?",C,1
"In triangle ABC, let M be the midpoint of AB and N be the midpoint of BC. What is the relationship between line MN and line AC?","In tetrahedron ABCD, let U, V, and W be the midpoints of AB, AC, and AD. What is the relationship between plane UVW and plane BCD?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of AB, AC, AD, and AE. What is the relationship between 3D hyperplane UVWX and 3D hyperplane BCDE?",A,1
"In triangle ABC, let D be the foot of the altitude from A to line BC. Do line AD and line BC intersect?","In tetrahedron ABCD, let E be the foot of the altitude from A to plane BCD. Do line AE and plane BCD intersect?","In 5-cell ABCDE, let F be the foot of the altitude from A to 3D hyperplane BCDE. Do line AF and 3D hyperplane BCDE intersect?",A,2
"In rectangle ABCD, do lines AB and line AC intersect?","In rectangular solid ABCD-EFGH, do plane ABFE and plane ACEG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABEF-IJKL and ACEG-IKMO intersect?",A,2
"In rectangle ABCD, do lines AB and line CD intersect?","In rectangular solid ABCD-EFGH, do plane ABFE and plane CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABEF-IJKL and CDHG-KLOP intersect?",B,2
"In triangle ABC, let M be the midpoint of AB and N be the midpoint of AC. Do lines BM and CN intersect?","In tetrahedron ABCD, let U be the centroid of face ABC and V be the centroid of face ACD. Do lines BU and DV intersect?","In 5-cell ABCDE, let U be the centroid of facet ABCD and V be the centroid of facet ACDE. Do lines BU and EV intersect?",C,2
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points A, P, and B collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points A, P, B, and H coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points A, P, B, H, and N cohyperplanar?",C,3
"In triangle ABC, let G be the centroid. Are points A, G, and G collinear?","In tetrahedron ABCD, let T be the centroid. Are points A, T, T, B coplanar?","In 5-cell ABCDE, let U be the centroid. Are points A, U, U, B, C cohyperplanar?",A,3
"In triangle ABC, let M be the midpoint of BC. Are points B, M, and C collinear?","In tetrahedron ABCD, let E and F be the midpoints of BC and BD. Are points B, E, F, D coplanar?","In 5-cell ABCDE, let F, G, and H be the midpoints of BC, BD, and BE. Are points B, F, G, H, E cohyperplanar?",A,3
"Line AB is a chord of circle O. Are points A, O, and B collinear?","Triangle ABC is a triangular section of sphere O. Are points A, O, B, and C coplanar?","Tetrahedron ABCD is a tetrahedral section of 3-sphere O. Are points A, O, B, C, and D cohyperplanar?",C,3
"In rectangle ABCD, what is the relationship between line BC and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane BCGF and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BCGF-JKON and 3D hyperplane CDHG-KLOP?",B,1
"In triangle ABC, let M be the midpoint of AC and N be the midpoint of BC. What is the relationship between line MN and line AB?","In tetrahedron ABCD, let U, V, and W be the midpoints of AC, BC, and DC. What is the relationship between plane UVW and plane ABD?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of AC, BC, DC, and EC. What is the relationship between 3D hyperplane UVWX and 3D hyperplane ABDE?",A,1
"In circle O, let A and B be endpoints of a diameter, and let t_B be the tangent line at B. Do line AB and line t_B intersect?","In sphere O, let A and B be endpoints of a diameter, and let P_B be the tangent plane at B. Do line AB and plane P_B intersect?","In 3-sphere O, let A and B be endpoints of a diameter, and let H_B be the tangent 3D hyperplane at B. Do line AB and 3D hyperplane H_B intersect?",A,2
"In rectangle ABCD, are points A, B, and P collinear, where P is the intersection point of diagonals AC and BD?","In rectangular solid ABCD-EFGH, are points A, B, P, and G coplanar, where P is the center of the rectangular solid?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, P, G, O cohyperplanar, where P is the center of the tesseract?",A,3
"In circle O, let t be the tangent line at A. Are points A and B on line t, where B is a point on t distinct from A?","In sphere O, let P be the tangent plane at A. Are points A, B, and C on plane P, where B and C are distinct points in P not equal to A?","In 3-sphere O, let H be the tangent 3D hyperplane at A. Are points A, B, C, and D on 3D hyperplane H, where B, C, and D are distinct points in H not equal to A?",A,3
"In triangle ABC, let M be the midpoint of BC and N the midpoint of CA. What is the relationship between line MN and line AB?","In tetrahedron ABCD, let U, V, and W be the midpoints of BC, CD, and DB. What is the relationship between plane UVW and plane ABC?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of BC, CD, DE, and EB. What is the relationship between 3D hyperplane UVWX and 3D hyperplane ABCE?",A,1
"In rectangle ABCD, do lines AD and BC intersect?","In rectangular solid ABCD-EFGH, do planes ADHE and BCGF intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ADHE-ILMP and BCGF-JKON intersect?",B,2
"In triangle ABC, let G be the centroid. Do lines AG and BC intersect?","In tetrahedron ABCD, let G be the centroid. Do line AG and plane BCD intersect?","In 5-cell ABCDE, let G be the centroid. Do line AG and 3D hyperplane BCDE intersect?",A,2
Line t is tangent to circle O at point A. Do line t and line OA intersect?,Plane P is tangent to sphere O at point A. Do plane P and line OA intersect?,3D hyperplane H is tangent to 3-sphere O at point A. Do 3D hyperplane H and line OA intersect?,A,2
"In triangle ABC, let M be the midpoint of BC and N the midpoint of AC. Do lines AM and BN intersect?","In tetrahedron ABCD, let U be the centroid of face BCD and V the centroid of face ACD. Do lines AU and BV intersect?","In 5-cell ABCDE, let U be the centroid of facet BCDE and V the centroid of facet ACDE. Do lines AU and BV intersect?",C,2
"In triangle ABC, let M be the midpoint of BC. Are points B, M, and C collinear?","In tetrahedron ABCD, let U, V, and W be the midpoints of BC, BD, and CD. Are points U, V, W, and B coplanar?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of BC, BD, BE, and CE. Are points U, V, W, X, and B cohyperplanar?",A,3
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points A, C, and P collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points A, C, G, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points A, C, G, O, and P cohyperplanar?",A,3
Line t is tangent to circle O at point A. Are points A and O on line t?,Plane P is tangent to sphere O at point A. Are points A and O on plane P?,3D hyperplane H is tangent to 3-sphere O at point A. Are points A and O on 3D hyperplane H?,B,3
"In triangle ABC, let G be the centroid. Are points B, G, and C collinear?","In tetrahedron ABCD, let G be the centroid. Are points B, G, C, D coplanar?","In 5-cell ABCDE, let G be the centroid. Are points B, G, C, D, E cohyperplanar?",A,3
"In rectangle ABCD, are points A, C, and D collinear?","In rectangular solid ABCD-EFGH, are points A, C, D, E coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, C, D, E, I cohyperplanar?",B,3
"In triangle ABC, let I be the incenter. Are points A, I, and B collinear?","In tetrahedron ABCD, let I be the incenter. Are points A, I, B, C coplanar?","In 5-cell ABCDE, let I be the incenter. Are points A, I, B, C, D cohyperplanar?",C,3
"In rectangle ABCD, what is the relationship between line AB and line EH?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane EFGH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABEF-IJKL and 3D hyperplane EFGH-MNOP?",D,1
"In triangle ABC, let D be the foot of the altitude from C to line AB. Do lines CD and AB intersect?","In tetrahedron ABCD, let E be the foot of the altitude from D to plane ABC. Do line DE and plane ABC intersect?","In 5-cell ABCDE, let F be the foot of the altitude from E to 3D hyperplane ABCD. Do line EF and 3D hyperplane ABCD intersect?",A,2
"In triangle ABC, let D be the foot of the altitude from C to line AB. Are points A, D, and B collinear?","In tetrahedron ABCD, let E be the foot of the altitude from D to plane ABC. Are points A, B, C, and E coplanar?","In 5-cell ABCDE, let F be the foot of the altitude from E to 3D hyperplane ABCD. Are points A, B, C, D, and F cohyperplanar?",A,3
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Do lines AP and CD intersect?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Do line AP and plane CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Do line AP and 3D hyperplane CDHG-KLOP intersect?",A,2
"In triangle ABC, let M be the midpoint of AB and G be the centroid. Are points C, G, and M collinear?","In tetrahedron ABCD, let U be the centroid of face ABC and T be the centroid of the tetrahedron. Are points D, T, U, and A coplanar?","In 5-cell ABCDE, let U be the centroid of facet ABCD and T be the centroid of the 5-cell. Are points E, T, U, A, and B cohyperplanar?",A,3
"In rectangle ABCD, what is the relationship between line AB and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABEF-IJKL and 3D hyperplane BCGF-JKON?",B,1
"In triangle ABC, let M be the midpoint of AB and N be the midpoint of AC. Are points B, M, and N collinear?","In tetrahedron ABCD, let U, V, and W be the midpoints of AB, AC, and AD. Are points B, U, V, and W coplanar?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of AB, AC, AD, and AE. Are points B, U, V, W, and X cohyperplanar?",A,3
"In rectangle ABCD, do lines AC and BC intersect?","In rectangular solid ABCD-EFGH, do planes ACEG and BCGF intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACEG-IKMO and BCGF-JKON intersect?",A,2
"In triangle ABC, let D be the foot of the altitude from B to line AC. Are points A, D, and C collinear?","In tetrahedron ABCD, let E be the foot of the altitude from B to plane ACD. Are points A, C, D, and E coplanar?","In 5-cell ABCDE, let F be the foot of the altitude from B to 3D hyperplane ACDE. Are points A, C, D, E, and F cohyperplanar?",A,3
"In rectangle ABCD, are points A, P, and C collinear, where P is the intersection point of diagonals AC and BD?","In rectangular solid ABCD-EFGH, are points A, P, C, and G coplanar, where P is the center of the rectangular solid?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, P, C, G, and O cohyperplanar, where P is the center of the tesseract?",A,3
"In triangle ABC, let M be the midpoint of AB and N be the midpoint of AC. What is the relationship between line MN and line BC?","In tetrahedron ABCD, let U, V, and W be the midpoints of AB, AC, and AD. What is the relationship between plane UVW and plane BCD?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of AB, AC, AD, and AE. What is the relationship between 3D hyperplane UVWX and 3D hyperplane BCDE?",A,1
Line AB is tangent to circle O at point B. Do line AB and line OB intersect?,Plane ABC is tangent to sphere O at point C. Do plane ABC and line OC intersect?,3D hyperplane ABCD is tangent to 3-sphere O at point D. Do 3D hyperplane ABCD and line OD intersect?,A,2
"In triangle ABC, let D be the foot of the altitude from A to line BC. What is the relationship between line AD and line BC?","In tetrahedron ABCD, let E be the foot of the altitude from A to plane BCD. What is the relationship between line AE and plane BCD?","In 5-cell ABCDE, let F be the foot of the altitude from A to 3D hyperplane BCDE. What is the relationship between line AF and 3D hyperplane BCDE?",B,1
"In rectangle ABCD, do lines AD and AC intersect?","In rectangular solid ABCD-EFGH, do planes ADHE and ACEG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ADHE-ILMP and ACEG-IKMO intersect?",A,2
"In triangle ABC, let I be the incenter. Are points A, I, and C collinear?","In tetrahedron ABCD, let I be the incenter. Are points A, I, C, D coplanar?","In 5-cell ABCDE, let I be the incenter. Are points A, I, C, D, E cohyperplanar?",C,3
"In rectangle ABCD, what is the relationship between line AB and line AC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane ACEG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABEF-IJKL and 3D hyperplane ACEG-IKMO?",C,1
"In triangle ABC, let M be the midpoint of BC. Are points A, B, and M collinear?","In tetrahedron ABCD, let U, V, and W be the midpoints of BC, BD, and CD. Are points A, B, U, and V coplanar?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of BC, BD, BE, and CE. Are points A, B, U, V, and W cohyperplanar?",B,3
"In rectangle ABCD, do lines BD and AD intersect?","In rectangular solid ABCD-EFGH, do planes BDFH and ADHE intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes BDFH-JLNP and ADHE-ILMP intersect?",A,2
"Line AB is a chord of circle O. What is the relationship between line AB and line OC, where C is the midpoint of chord AB?","Triangle ABD is a triangular section of sphere O. What is the relationship between plane ABD and line OC, where C is the centroid of triangle ABD?","Tetrahedron ABDE is a tetrahedral section of 3-sphere O. What is the relationship between 3D hyperplane ABDE and line OC, where C is the centroid of tetrahedron ABDE?",B,1
"In rectangle ABCD, what is the relationship between line AB and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABCD and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABCD-IJKL and 3D hyperplane BCGF-JKON?",B,1
"In rectangle ABCD, what is the relationship between line AB and line BD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane BDFH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABEF-IJKL and 3D hyperplane BDFH-JLNP?",C,1
"In triangle ABC, let M be the midpoint of AB and N be the midpoint of BC. What is the relationship between line MN and line AC?","In tetrahedron ABCD, let U, V, and W be the midpoints of AB, BC, and BD. What is the relationship between plane UVW and plane ACD?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of AB, BC, BD, and BE. What is the relationship between 3D hyperplane UVWX and 3D hyperplane ACDE?",A,1
"In triangle ABC, let D be the foot of the altitude from B to line AC. What is the relationship between line BD and line AC?","In tetrahedron ABCD, let E be the foot of the altitude from B to plane ACD. What is the relationship between line BE and plane ACD?","In 5-cell ABCDE, let F be the foot of the altitude from B to 3D hyperplane ACDE. What is the relationship between line BF and 3D hyperplane ACDE?",B,1
"In triangle ABC, let G be the centroid. Do lines BG and AC intersect?","In tetrahedron ABCD, let G be the centroid. Do line BG and plane ACD intersect?","In 5-cell ABCDE, let G be the centroid. Do line BG and 3D hyperplane ACDE intersect?",A,2
"In triangle ABC, let I be the incenter. Do lines AI and BC intersect?","In tetrahedron ABCD, let I be the incenter. Do line AI and plane BCD intersect?","In 5-cell ABCDE, let I be the incenter. Do line AI and 3D hyperplane BCDE intersect?",A,2
"In triangle ABC, let M be the midpoint of AB and N be the midpoint of AC. Do lines BN and CM intersect?","In tetrahedron ABCD, let U be the centroid of face ABC and V be the centroid of face ABD. Do lines DU and CV intersect?","In 5-cell ABCDE, let U be the centroid of facet ABCD and V be the centroid of facet ABCE. Do lines EU and DV intersect?",C,2
"Line AB is tangent to circle O at point A. Do line AB and line CD intersect, where C and D are distinct points on line AB?","Plane ABC is tangent to sphere O at point A. Do plane ABC and line DE intersect, where D and E are distinct points in plane ABC?","3D hyperplane ABCD is tangent to 3-sphere O at point A. Do 3D hyperplane ABCD and line EF intersect, where E and F are distinct points in 3D hyperplane ABCD?",A,2
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points B, P, and D collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points B, D, F, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points B, D, F, N, and P cohyperplanar?",A,3
"In triangle ABC, let M be the midpoint of AB. Are points A, M, and B collinear?","In tetrahedron ABCD, let U, V, and W be the midpoints of AB, AC, and AD. Are points A, U, V, and W coplanar?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of AB, AC, AD, and AE. Are points A, U, V, W, and X cohyperplanar?",A,3
"In triangle ABC, let D be the foot of the altitude from C to line AB. Are points C, D, and A collinear?","In tetrahedron ABCD, let E be the foot of the altitude from D to plane ABC. Are points D, E, A, B coplanar?","In 5-cell ABCDE, let F be the foot of the altitude from E to 3D hyperplane ABCD. Are points E, F, A, B, C cohyperplanar?",C,3
"In triangle ABC, let G be the centroid. Are points A, G, and M collinear, where M is the midpoint of BC?","In tetrahedron ABCD, let G be the centroid and U the centroid of face BCD. Are points A, G, U, and B coplanar?","In 5-cell ABCDE, let G be the centroid and U the centroid of facet BCDE. Are points A, G, U, B, C cohyperplanar?",A,3
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points A, B, and P collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points A, B, P, and E coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points A, B, P, E, and I cohyperplanar?",C,3
"In rectangle ABCD, what is the relationship between line AB and line CE?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane BCEH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABEF-IJKL and 3D hyperplane BCEH-JKLP?",D,1
Line l is tangent to circle O at point A. Do line l and circle O intersect?,Plane P is tangent to sphere O at point A. Do plane P and sphere O intersect?,3D hyperplane H is tangent to 3-sphere O at point A. Do 3D hyperplane H and 3-sphere O intersect?,A,2
"In triangle ABC, let I be the incenter. Do lines BI and AC intersect?","In tetrahedron ABCD, let I be the incenter. Do line BI and plane ACD intersect?","In 5-cell ABCDE, let I be the incenter. Do line BI and 3D hyperplane ACDE intersect?",A,2
"In rectangle ABCD, do lines AB and EF intersect?","In rectangular solid ABCD-EFGH, do planes ABCD and EFGH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABCD-IJKL and EFGH-MNOP intersect?",C,2
"Line AB is a chord of circle O, and M is the midpoint of AB. Are points A, M, and B collinear?","Triangle ABC is a triangular section of sphere O, and G is the centroid of triangle ABC. Are points A, B, C, and G coplanar?","Tetrahedron ABCD is a tetrahedral section of 3-sphere O, and G is the centroid of tetrahedron ABCD. Are points A, B, C, D, and G cohyperplanar?",A,3
"In triangle ABC, let M be the midpoint of BC. Are points A, M, and C collinear?","In tetrahedron ABCD, let U, V, and W be the midpoints of BC, BD, and CD. Are points A, U, V, and W coplanar?","In 5-cell ABCDE, let U, V, W, and X be the midpoints of BC, BD, BE, and CD. Are points A, U, V, W, and X cohyperplanar?",B,3
"In triangle ABC, let G be the centroid and M the midpoint of BC. Are points A, G, and M collinear?","In tetrahedron ABCD, let G be the centroid and U the centroid of face BCD. Are points A, G, and U coplanar?","In 5-cell ABCDE, let G be the centroid and U the centroid of facet BCDE. Are points A, G, and U cohyperplanar?",A,3
Line l is tangent to circle O at point A. Are points A and O collinear with line l?,Plane P is tangent to sphere O at point A. Are points A and O coplanar with plane P?,3D hyperplane H is tangent to 3-sphere O at point A. Are points A and O cohyperplanar with 3D hyperplane H?,B,3
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points B, C, and P collinear?","In rectangular solid ABCD-EFGH, let P be the center of the rectangular solid. Are points B, C, G, and P coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), let P be the center of the tesseract. Are points B, C, G, O, and P cohyperplanar?",A,3
"In triangle ABC, let I be the incenter. Are points B, I, and M collinear, where M is the midpoint of AC?","In tetrahedron ABCD, let I be the incenter. Are points B, I, and U coplanar, where U is the centroid of face ACD?","In 5-cell ABCDE, let I be the incenter. Are points B, I, and U cohyperplanar, where U is the centroid of facet ACDE?",C,3
Line l is tangent to circle O at point A. What is the relationship between line l and line OA?,Plane P is tangent to sphere O at point A. What is the relationship between plane P and line OA?,3D hyperplane H is tangent to 3-sphere O at point A. What is the relationship between 3D hyperplane H and line OA?,B,1
